Date,Category,Product Name,Product Color,ID,Original Price,Sale Price,Promotion,Extra Promotion
12/7/2019,Mens Coats & Jackets,Ultra Parka,Navy Blue,37425820,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Parka,Black,37425822,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Parka,Olive Green,38323890,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Lightweight Packable Puffer,Black,35010385,$140 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Parka,Black,38323892,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Shearling Collar Leather Jacket,Black,38711444,$500 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Ultra Parka,Dark Grey,38323889,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Sherpa-Lined Vest,Navy Blue,38035951,$98 ,$58.80 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Parka,Red,38323891,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Sherpa Puffer,Navy,38846319,$260 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Trekking Parka,Navy Blue,35010389,$198 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Lightweight Packable Vest,Black,37348693,$88 ,$52.80 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Refined Parka,Black,39491349,$220 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Wool-Blend Topcoat,Light Brown,38711455,$240 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Ultra Parka,Orange,37425821,$280 ,$140 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Military Bomber Jacket,Black,37354331,$140 ,$84 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Trekking Parka,Red,35010390,$198 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,A&F Climate Tech Jacket,Black,35010388,$160 ,$80 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Refined Parka,Grey,39491348,$220 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Lightweight Packable Puffer,White,35010382,$140 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Fleece-Lined Ski Jacket,Navy Blue,38711460,$140 ,$70 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Puffer,Navy Blue,38711439,$198 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
